id,"name",artist_id,"created_at","updated_at",display
181,"紅茶の美味しい店",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
182,"Blue-Sky-Blue",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
183,"カタオモイ。",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
184,"うらはら",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
185,"Independent Girl〜独立女子であるために",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
186,"One Way = My Way",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
187,"JUICY HE@RT",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
188,"ラナウェイトレイン",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
189,"雑草のうた",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
190,"Ice Mermaid",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
191,"夏ダカラ!",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
192,"My alright sky",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
193,"1/3の純情な感情",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
194,"キアオラ・グラシャス・ありがと",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
195,"フランキンセンスΨ",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
196,"partenza〜レッツゴー!!!〜",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
197,"DEEP MIND",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
198,"初恋サイダー",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
199,"Never gonna stop!",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
200,"夏の星空",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
201,"BELIEVE★★★",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
202,"未来ドライブ",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
203,"GO!GO!ゴーダ",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
204,"FEVER",8,"2015-11-15 19:13:02","2015-11-15 19:13:02",1
205,"ぁまのじゃく",3,"2015-11-15 19:13:38","2015-11-15 19:13:38",1
206,"オトナになるって難しい!!!",3,"2015-11-15 19:13:38","2015-11-15 19:13:38",1
207,"サンキュ!　クレームブリュレの友情",3,"2015-11-15 19:13:38","2015-11-15 19:13:38",1
208,"夢見る 15歳",3,"2015-11-15 19:13:38","2015-11-15 19:13:38",1
209,"スマイル美人",3,"2015-11-15 19:13:38","2015-11-15 19:13:38",1
210,"○○ がんばらなくてもいいんだよ!!",3,"2015-11-15 19:13:38","2015-11-15 19:13:38",1
211,"○○ がんばらなくてもええねんで!!",3,"2015-11-15 19:13:38","2015-11-15 19:13:38",1
212,"ちょこっとLOVE",3,"2015-11-15 19:13:38","2015-11-15 19:13:38",1
213,"同じ時給で働く友達の美人ママ",3,"2015-11-15 19:13:38","2015-11-15 19:13:38",1
214,"マイ・スクール・マーチ",3,"2015-11-15 19:13:38","2015-11-15 19:13:38",1
215,"あすはデートなのに、今すぐ声が聞きたい",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
216,"しっかりしてよ!もう",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
217,"学級委員長",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
218,"スキちゃん",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
219,"シューティング スター",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
220,"女ばかりの日曜日",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
221,"踊ろうよ",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
